Notification;State
561;Parana
386;Parana
556;Parana
516;Parana
296;Parana
191;Parana
151;Parana
135;Parana
144;Parana
194;Parana
191;Parana
175;Parana
168;Parana
133;Parana
176;Parana
234;Parana
179;Parana
171;Parana
170;Parana
186;Parana
190;Parana
182;Parana
193;Parana
135;Parana
108;Parana
91;Parana
137;Parana
106;Parana
113;Parana
106;Parana
96;Parana
63;Parana
99;Parana
115;Parana
143;Parana
149;Parana
112;Parana
94;Parana
123;Parana
122;Parana
114;Parana
78;Parana
99;Parana
111;Parana
101;Parana
121;Parana
105;Parana
149;Parana
128;Parana
131;Parana
136;Parana
152;Parana
146;Parana
139;Parana
97;Parana
125;Parana
146;Parana
115;Parana
151;Parana
133;Parana
122;Parana
102;Parana
141;Parana
103;Parana
113;Parana
104;Parana
105;Parana
105;Parana
90;Parana
112;Parana
116;Parana
150;Parana
149;Parana
112;Parana
109;Parana
147;Parana
119;Parana
131;Parana
129;Parana
107;Parana
139;Parana
161;Parana
191;Parana
155;Parana
124;Parana
90;Parana
108;Parana
117;Parana
95;Parana
82;Parana
87;Parana
113;Parana
111;Parana
157;Parana
129;Parana
158;Parana
119;Parana
106;Parana
117;Parana
109;Parana
111;Parana
106;Parana
99;Parana
123;Parana
134;Parana
149;Parana
195;Parana
172;Parana
92;Parana
82;Parana
100;Parana
91;Parana
83;Parana
87;Parana
96;Parana
95;Parana
104;Parana
114;Parana
151;Parana
176;Parana
132;Parana
97;Parana
170;Parana
148;Parana
124;Parana
185;Parana
147;Parana
127;Parana
127;Parana
149;Parana
159;Parana
138;Parana
117;Parana
111;Parana
126;Parana
144;Parana
146;Parana
103;Parana
114;Parana
97;Parana
130;Parana
222;Parana
177;Parana
144;Parana
920;Sao Paulo
693;Sao Paulo
1137;Sao Paulo
1152;Sao Paulo
1061;Sao Paulo
775;Sao Paulo
784;Sao Paulo
796;Sao Paulo
814;Sao Paulo
1030;Sao Paulo
1017;Sao Paulo
1002;Sao Paulo
947;Sao Paulo
704;Sao Paulo
733;Sao Paulo
751;Sao Paulo
701;Sao Paulo
751;Sao Paulo
694;Sao Paulo
628;Sao Paulo
699;Sao Paulo
731;Sao Paulo
786;Sao Paulo
824;Sao Paulo
592;Sao Paulo
553;Sao Paulo
761;Sao Paulo
790;Sao Paulo
744;Sao Paulo
733;Sao Paulo
647;Sao Paulo
493;Sao Paulo
459;Sao Paulo
575;Sao Paulo
646;Sao Paulo
734;Sao Paulo
624;Sao Paulo
565;Sao Paulo
709;Sao Paulo
653;Sao Paulo
657;Sao Paulo
686;Sao Paulo
632;Sao Paulo
701;Sao Paulo
769;Sao Paulo
768;Sao Paulo
791;Sao Paulo
786;Sao Paulo
537;Sao Paulo
551;Sao Paulo
657;Sao Paulo
673;Sao Paulo
696;Sao Paulo
725;Sao Paulo
705;Sao Paulo
627;Sao Paulo
697;Sao Paulo
773;Sao Paulo
701;Sao Paulo
742;Sao Paulo
550;Sao Paulo
533;Sao Paulo
699;Sao Paulo
826;Sao Paulo
782;Sao Paulo
870;Sao Paulo
712;Sao Paulo
718;Sao Paulo
794;Sao Paulo
